"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000122851528090444,0.482107175030529,0.345,0.154,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000245346786749426,"7","TFEB"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000159275317526022,0.353794646246674,0.911,0.592,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000318088736631218,"7","ATP5PO"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000258531300222703,0.436002883169139,0.281,0.114,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000051631285967476,"7","FBXO42"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000284170996474042,0.298117124785223,0.526,0.259,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000056751789705831,"7","IRAK1"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000338182699368981,0.25347421642162,0.357,0.154,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000675384668909792,"7","RFTN1"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000341429421580507,0.350830727799342,0.463,0.224,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000681868697838431,"7","GALNT1"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000362329318264751,0.27767495024868,0.463,0.218,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000723607881506534,"7","FAM173A"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000407232760442732,0.360215818328596,0.338,0.146,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000081328454588018,"7","FOXO1"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000502806265893146,0.388561152667844,0.291,0.12,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010041543936152,"7","MAST3"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000845283895550051,0.309020946237762,0.378,0.17,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000168811646780301,"7","ZZEF1"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000922544134964067,0.323698346979274,0.384,0.173,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000184241289193674,"7","TXNDC11"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000180090842079439,0.469637689547814,0.315,0.136,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000359659420716847,"7","OAT"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000282920279200334,0.499553748976242,0.288,0.119,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000565020089590987,"7","PPA2"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000302715137376965,0.332120557178856,0.476,0.231,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000604552400855536,"7","SBNO1"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000369128226025212,0.412014547258895,0.283,0.116,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000737185980194951,"7","PDHA1"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000369870693983489,0.373822910336312,0.313,0.133,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000738668762954425,"7","PIGBOS1"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000566615465002141,0.42661628355195,0.33,0.144,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000113158774515578,"7","TLNRD1"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000608083644538592,0.294431196628387,0.438,0.207,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121440384650802,"7","CDK5RAP3"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000630069867925777,0.25994873802618,0.498,0.24,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000125831253323457,"7","C1orf122"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000630084753748889,0.460473308944888,0.276,0.112,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000125834226171191,"7","DCLRE1C"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000064156060418312,0.253869794635964,0.515,0.253,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000128126068261411,"7","EIF4EBP2"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000839671335618751,0.274111031234176,0.546,0.274,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000167690762436421,"7","WIPI2"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000852842518254277,0.382269099748181,0.339,0.149,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000170321179320562,"7","MYO5A"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000994956326083015,0.318080024964501,0.483,0.234,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000198702727882039,"7","COX20"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000137202822601555,0.2822761635841,0.751,0.416,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000274007757017565,"7","POLR2J"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324721331640352,0.276008083281855,0.412,0.191,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000648500971418947,"7","PIH1D1"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000932696175818148,0.250675385064777,0.782,0.445,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000186268753272642,"7","PPP1CB"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000956897602685529,0.454480885912178,0.294,0.124,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000191102020232327,"7","MVB12A"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000131969789017444,0.306562635737222,0.671,0.354,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000263556865646737,"7","EMC7"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000145480512935532,0.327124278858433,0.428,0.201,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000029053913238355,"7","RTCB"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000252556909943421,0.296865163672769,0.368,0.166,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000504381404848006,"7","RASSF4"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000261273177157017,0.400123229457936,0.283,0.117,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000521788662100279,"7","YKT6"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000373171872066985,0.509074127169241,0.254,0.102,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000745261545704976,"7","COPS7A"
